name,institution,email,paper_title,paper_url,synopsis,linkedin_url
Evgeny Burnaev,Applied AI Institute,,Universal Inverse Distillation for Matching Models with Real-Data Supervision (No GANs),https://openreview.net/forum?id=8NuN5UzXLC,"This paper addresses the slow inference speeds of modern generative models like diffusion and flow matching by proposing a new distillation framework that naturally utilizes real data without complex adversarial training. The authors introduce RealUID, which unifies previous methods under a single universal loss function, eliminating the need for extra discriminator networks typically required in GAN-based approaches. By streamlining the distillation process with simple yet rigorous theoretical explanations, the method achieves efficient one-step generation while avoiding the computational overhead associated with adversarial losses. Consequently, this research unlocks faster and more cost-effective deployment of high-fidelity AI models across diverse architectures, addressing a major barrier to scaling generative applications in production environments.",
Marco P Abrate,"University College London, University of London",,From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding,https://openreview.net/forum?id=8bM7MkxJee,"This study investigates how a young animal's developing motor skills build the brain's internal map of space. The researchers used artificial neural networks trained on real rat movement data to simulate how spatial neurons mature during growth. Their findings show that specific changes in movement patterns, not just faster learning, are required to create accurate, world-centered navigation systems that match biological timelines. These insights unlock new ways to design AI agents that learn navigation through physical experience and provide tools to model neurodevelopmental conditions where movement and spatial memory are affected.",
Laurenz Muessig,"University College London, University of London",,From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding,https://openreview.net/forum?id=8bM7MkxJee,"This study investigates how a young animal's developing motor skills build the brain's internal map of space. The researchers used artificial neural networks trained on real rat movement data to simulate how spatial neurons mature during growth. Their findings show that specific changes in movement patterns, not just faster learning, are required to create accurate, world-centered navigation systems that match biological timelines. These insights unlock new ways to design AI agents that learn navigation through physical experience and provide tools to model neurodevelopmental conditions where movement and spatial memory are affected.",
Francesca Cacucci,"University College London, University of London",,From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding,https://openreview.net/forum?id=8bM7MkxJee,"This study investigates how a young animal's developing motor skills build the brain's internal map of space. The researchers used artificial neural networks trained on real rat movement data to simulate how spatial neurons mature during growth. Their findings show that specific changes in movement patterns, not just faster learning, are required to create accurate, world-centered navigation systems that match biological timelines. These insights unlock new ways to design AI agents that learn navigation through physical experience and provide tools to model neurodevelopmental conditions where movement and spatial memory are affected.",
Joshua P Bassett,"University College London, University of London",,From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding,https://openreview.net/forum?id=8bM7MkxJee,"This study investigates how a young animal's developing motor skills build the brain's internal map of space. The researchers used artificial neural networks trained on real rat movement data to simulate how spatial neurons mature during growth. Their findings show that specific changes in movement patterns, not just faster learning, are required to create accurate, world-centered navigation systems that match biological timelines. These insights unlock new ways to design AI agents that learn navigation through physical experience and provide tools to model neurodevelopmental conditions where movement and spatial memory are affected.",
Hui Min Tan,Animal Concerns Research & Education Society,,From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding,https://openreview.net/forum?id=8bM7MkxJee,"This study investigates how a young animal's developing motor skills build the brain's internal map of space. The researchers used artificial neural networks trained on real rat movement data to simulate how spatial neurons mature during growth. Their findings show that specific changes in movement patterns, not just faster learning, are required to create accurate, world-centered navigation systems that match biological timelines. These insights unlock new ways to design AI agents that learn navigation through physical experience and provide tools to model neurodevelopmental conditions where movement and spatial memory are affected.",
Thomas Joseph Wills,"University College London, University of London",,From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding,https://openreview.net/forum?id=8bM7MkxJee,"This study investigates how a young animal's developing motor skills build the brain's internal map of space. The researchers used artificial neural networks trained on real rat movement data to simulate how spatial neurons mature during growth. Their findings show that specific changes in movement patterns, not just faster learning, are required to create accurate, world-centered navigation systems that match biological timelines. These insights unlock new ways to design AI agents that learn navigation through physical experience and provide tools to model neurodevelopmental conditions where movement and spatial memory are affected.",
Caswell Barry,University College London,,From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding,https://openreview.net/forum?id=8bM7MkxJee,"This study investigates how a young animal's developing motor skills build the brain's internal map of space. The researchers used artificial neural networks trained on real rat movement data to simulate how spatial neurons mature during growth. Their findings show that specific changes in movement patterns, not just faster learning, are required to create accurate, world-centered navigation systems that match biological timelines. These insights unlock new ways to design AI agents that learn navigation through physical experience and provide tools to model neurodevelopmental conditions where movement and spatial memory are affected.",
Isaac Han,Gwangju Institute of Science and Technology,,FIRE: Frobenius-Isometry Reinitialization for Balancing the Stability–Plasticity Tradeoff,https://openreview.net/forum?id=CfZLxT3zIZ,"This research tackles the challenge of enabling deep neural networks to adapt to new data streams without forgetting crucial prior knowledge, a key requirement for evolving applications like autonomous vehicles and foundation models. The authors propose FIRE, an efficient reinitialization strategy that mathematically balances stability and plasticity using a constrained optimization approach solved with minimal computational overhead. Testing across computer vision, language modeling, and reinforcement learning benchmarks demonstrates that FIRE outperforms standard methods while adding less than 1% to training time costs. This advancement unlocks scalable AI solutions that can update continuously in dynamic environments without catastrophic forgetting or prohibitive data storage needs.",
Sangyeon Park,Gwangju Institute of Science and Technology,,FIRE: Frobenius-Isometry Reinitialization for Balancing the Stability–Plasticity Tradeoff,https://openreview.net/forum?id=CfZLxT3zIZ,"This research tackles the challenge of enabling deep neural networks to adapt to new data streams without forgetting crucial prior knowledge, a key requirement for evolving applications like autonomous vehicles and foundation models. The authors propose FIRE, an efficient reinitialization strategy that mathematically balances stability and plasticity using a constrained optimization approach solved with minimal computational overhead. Testing across computer vision, language modeling, and reinforcement learning benchmarks demonstrates that FIRE outperforms standard methods while adding less than 1% to training time costs. This advancement unlocks scalable AI solutions that can update continuously in dynamic environments without catastrophic forgetting or prohibitive data storage needs.",
Seungwon Oh,Gwangju Institute of Science and Technology,,FIRE: Frobenius-Isometry Reinitialization for Balancing the Stability–Plasticity Tradeoff,https://openreview.net/forum?id=CfZLxT3zIZ,"This research tackles the challenge of enabling deep neural networks to adapt to new data streams without forgetting crucial prior knowledge, a key requirement for evolving applications like autonomous vehicles and foundation models. The authors propose FIRE, an efficient reinitialization strategy that mathematically balances stability and plasticity using a constrained optimization approach solved with minimal computational overhead. Testing across computer vision, language modeling, and reinforcement learning benchmarks demonstrates that FIRE outperforms standard methods while adding less than 1% to training time costs. This advancement unlocks scalable AI solutions that can update continuously in dynamic environments without catastrophic forgetting or prohibitive data storage needs.",
Donghu Kim,Korea Advanced Institute of Science & Technology,,FIRE: Frobenius-Isometry Reinitialization for Balancing the Stability–Plasticity Tradeoff,https://openreview.net/forum?id=CfZLxT3zIZ,"This research tackles the challenge of enabling deep neural networks to adapt to new data streams without forgetting crucial prior knowledge, a key requirement for evolving applications like autonomous vehicles and foundation models. The authors propose FIRE, an efficient reinitialization strategy that mathematically balances stability and plasticity using a constrained optimization approach solved with minimal computational overhead. Testing across computer vision, language modeling, and reinforcement learning benchmarks demonstrates that FIRE outperforms standard methods while adding less than 1% to training time costs. This advancement unlocks scalable AI solutions that can update continuously in dynamic environments without catastrophic forgetting or prohibitive data storage needs.",
Hojoon Lee,Krafton AI,,FIRE: Frobenius-Isometry Reinitialization for Balancing the Stability–Plasticity Tradeoff,https://openreview.net/forum?id=CfZLxT3zIZ,"This research tackles the challenge of enabling deep neural networks to adapt to new data streams without forgetting crucial prior knowledge, a key requirement for evolving applications like autonomous vehicles and foundation models. The authors propose FIRE, an efficient reinitialization strategy that mathematically balances stability and plasticity using a constrained optimization approach solved with minimal computational overhead. Testing across computer vision, language modeling, and reinforcement learning benchmarks demonstrates that FIRE outperforms standard methods while adding less than 1% to training time costs. This advancement unlocks scalable AI solutions that can update continuously in dynamic environments without catastrophic forgetting or prohibitive data storage needs.",
KyungJoong Kim,Gwangju Institute of Science and Technology,,FIRE: Frobenius-Isometry Reinitialization for Balancing the Stability–Plasticity Tradeoff,https://openreview.net/forum?id=CfZLxT3zIZ,"This research tackles the challenge of enabling deep neural networks to adapt to new data streams without forgetting crucial prior knowledge, a key requirement for evolving applications like autonomous vehicles and foundation models. The authors propose FIRE, an efficient reinitialization strategy that mathematically balances stability and plasticity using a constrained optimization approach solved with minimal computational overhead. Testing across computer vision, language modeling, and reinforcement learning benchmarks demonstrates that FIRE outperforms standard methods while adding less than 1% to training time costs. This advancement unlocks scalable AI solutions that can update continuously in dynamic environments without catastrophic forgetting or prohibitive data storage needs.",
Kartik Nair,Carnegie Mellon University,,Exchangeability of GNN Representations  with Applications to Graph Retrieval,https://openreview.net/forum?id=HQcCd0laFq,"This research identifies a hidden statistical symmetry in trained Graph Neural Networks where individual node embedding features remain interchangeable across dimensions. By proving that these embedding components behave as exchangeable random variables, the authors enable complex graph matching metrics to be efficiently approximated using simple Euclidean distances on sorted vectors. This breakthrough unlocks a unified Locality Sensitive Hashing framework for scalable graph retrieval, allowing search systems to find relevant graphs much faster while supporting diverse relevance measures like subgraph matching and edit distance.",https://www.linkedin.com/in/kartik-s-nair
Indradyumna Roy,Indian Institute of Technology Bombay,,Exchangeability of GNN Representations  with Applications to Graph Retrieval,https://openreview.net/forum?id=HQcCd0laFq,"This research identifies a hidden statistical symmetry in trained Graph Neural Networks where individual node embedding features remain interchangeable across dimensions. By proving that these embedding components behave as exchangeable random variables, the authors enable complex graph matching metrics to be efficiently approximated using simple Euclidean distances on sorted vectors. This breakthrough unlocks a unified Locality Sensitive Hashing framework for scalable graph retrieval, allowing search systems to find relevant graphs much faster while supporting diverse relevance measures like subgraph matching and edit distance.",
Soumen Chakrabarti,Indian Institute of Technology Bombay,,Exchangeability of GNN Representations  with Applications to Graph Retrieval,https://openreview.net/forum?id=HQcCd0laFq,"This research identifies a hidden statistical symmetry in trained Graph Neural Networks where individual node embedding features remain interchangeable across dimensions. By proving that these embedding components behave as exchangeable random variables, the authors enable complex graph matching metrics to be efficiently approximated using simple Euclidean distances on sorted vectors. This breakthrough unlocks a unified Locality Sensitive Hashing framework for scalable graph retrieval, allowing search systems to find relevant graphs much faster while supporting diverse relevance measures like subgraph matching and edit distance.",
Anirban Dasgupta,IIT Gandhinagar,,Exchangeability of GNN Representations  with Applications to Graph Retrieval,https://openreview.net/forum?id=HQcCd0laFq,"This research identifies a hidden statistical symmetry in trained Graph Neural Networks where individual node embedding features remain interchangeable across dimensions. By proving that these embedding components behave as exchangeable random variables, the authors enable complex graph matching metrics to be efficiently approximated using simple Euclidean distances on sorted vectors. This breakthrough unlocks a unified Locality Sensitive Hashing framework for scalable graph retrieval, allowing search systems to find relevant graphs much faster while supporting diverse relevance measures like subgraph matching and edit distance.",
Abir De,"Indian Institute of Technology Bombay,",,Exchangeability of GNN Representations  with Applications to Graph Retrieval,https://openreview.net/forum?id=HQcCd0laFq,"This research identifies a hidden statistical symmetry in trained Graph Neural Networks where individual node embedding features remain interchangeable across dimensions. By proving that these embedding components behave as exchangeable random variables, the authors enable complex graph matching metrics to be efficiently approximated using simple Euclidean distances on sorted vectors. This breakthrough unlocks a unified Locality Sensitive Hashing framework for scalable graph retrieval, allowing search systems to find relevant graphs much faster while supporting diverse relevance measures like subgraph matching and edit distance.",
Zhiyu Mou,Alibaba Group,,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,https://openreview.net/forum?id=kMuQBgPIdg,"Current AI-generated bidding methods are limited to imitating historical data, which prevents them from safely exploring higher-performing strategies beyond static datasets. This paper introduces AIGB-Pearl, a novel framework that integrates offline reward evaluation with policy search to enable active exploration while ensuring model safety through provable constraints. By avoiding the training instability typical of traditional reinforcement learning, this approach leverages synchronous coupling techniques to maintain regularity during generation. Extensive tests on simulated and real-world advertising systems confirm that AIGB-Pearl achieves state-of-the-art performance, enabling advertisers to significantly optimize campaign returns within budget limits.",
Yiqin Lv,National University of Defense Technology,,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,https://openreview.net/forum?id=kMuQBgPIdg,"Current AI-generated bidding methods are limited to imitating historical data, which prevents them from safely exploring higher-performing strategies beyond static datasets. This paper introduces AIGB-Pearl, a novel framework that integrates offline reward evaluation with policy search to enable active exploration while ensuring model safety through provable constraints. By avoiding the training instability typical of traditional reinforcement learning, this approach leverages synchronous coupling techniques to maintain regularity during generation. Extensive tests on simulated and real-world advertising systems confirm that AIGB-Pearl achieves state-of-the-art performance, enabling advertisers to significantly optimize campaign returns within budget limits.",https://www.linkedin.com/in/yongqin-lv-21940544
Miao Xu,Alibaba Group,,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,https://openreview.net/forum?id=kMuQBgPIdg,"Current AI-generated bidding methods are limited to imitating historical data, which prevents them from safely exploring higher-performing strategies beyond static datasets. This paper introduces AIGB-Pearl, a novel framework that integrates offline reward evaluation with policy search to enable active exploration while ensuring model safety through provable constraints. By avoiding the training instability typical of traditional reinforcement learning, this approach leverages synchronous coupling techniques to maintain regularity during generation. Extensive tests on simulated and real-world advertising systems confirm that AIGB-Pearl achieves state-of-the-art performance, enabling advertisers to significantly optimize campaign returns within budget limits.",
Cheems Wang,Tsinghua University,,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,https://openreview.net/forum?id=kMuQBgPIdg,"Current AI-generated bidding methods are limited to imitating historical data, which prevents them from safely exploring higher-performing strategies beyond static datasets. This paper introduces AIGB-Pearl, a novel framework that integrates offline reward evaluation with policy search to enable active exploration while ensuring model safety through provable constraints. By avoiding the training instability typical of traditional reinforcement learning, this approach leverages synchronous coupling techniques to maintain regularity during generation. Extensive tests on simulated and real-world advertising systems confirm that AIGB-Pearl achieves state-of-the-art performance, enabling advertisers to significantly optimize campaign returns within budget limits.",
Yixiu Mao,Tsinghua University,,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,https://openreview.net/forum?id=kMuQBgPIdg,"Current AI-generated bidding methods are limited to imitating historical data, which prevents them from safely exploring higher-performing strategies beyond static datasets. This paper introduces AIGB-Pearl, a novel framework that integrates offline reward evaluation with policy search to enable active exploration while ensuring model safety through provable constraints. By avoiding the training instability typical of traditional reinforcement learning, this approach leverages synchronous coupling techniques to maintain regularity during generation. Extensive tests on simulated and real-world advertising systems confirm that AIGB-Pearl achieves state-of-the-art performance, enabling advertisers to significantly optimize campaign returns within budget limits.",
Jinghao Chen,Tsinghua University,,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,https://openreview.net/forum?id=kMuQBgPIdg,"Current AI-generated bidding methods are limited to imitating historical data, which prevents them from safely exploring higher-performing strategies beyond static datasets. This paper introduces AIGB-Pearl, a novel framework that integrates offline reward evaluation with policy search to enable active exploration while ensuring model safety through provable constraints. By avoiding the training instability typical of traditional reinforcement learning, this approach leverages synchronous coupling techniques to maintain regularity during generation. Extensive tests on simulated and real-world advertising systems confirm that AIGB-Pearl achieves state-of-the-art performance, enabling advertisers to significantly optimize campaign returns within budget limits.",
Qichen Ye,Alibaba Group,,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,https://openreview.net/forum?id=kMuQBgPIdg,"Current AI-generated bidding methods are limited to imitating historical data, which prevents them from safely exploring higher-performing strategies beyond static datasets. This paper introduces AIGB-Pearl, a novel framework that integrates offline reward evaluation with policy search to enable active exploration while ensuring model safety through provable constraints. By avoiding the training instability typical of traditional reinforcement learning, this approach leverages synchronous coupling techniques to maintain regularity during generation. Extensive tests on simulated and real-world advertising systems confirm that AIGB-Pearl achieves state-of-the-art performance, enabling advertisers to significantly optimize campaign returns within budget limits.",
Chao Li,Chinese academic of science,,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,https://openreview.net/forum?id=kMuQBgPIdg,"Current AI-generated bidding methods are limited to imitating historical data, which prevents them from safely exploring higher-performing strategies beyond static datasets. This paper introduces AIGB-Pearl, a novel framework that integrates offline reward evaluation with policy search to enable active exploration while ensuring model safety through provable constraints. By avoiding the training instability typical of traditional reinforcement learning, this approach leverages synchronous coupling techniques to maintain regularity during generation. Extensive tests on simulated and real-world advertising systems confirm that AIGB-Pearl achieves state-of-the-art performance, enabling advertisers to significantly optimize campaign returns within budget limits.",
Rongquan Bai,Alibaba Group,,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,https://openreview.net/forum?id=kMuQBgPIdg,"Current AI-generated bidding methods are limited to imitating historical data, which prevents them from safely exploring higher-performing strategies beyond static datasets. This paper introduces AIGB-Pearl, a novel framework that integrates offline reward evaluation with policy search to enable active exploration while ensuring model safety through provable constraints. By avoiding the training instability typical of traditional reinforcement learning, this approach leverages synchronous coupling techniques to maintain regularity during generation. Extensive tests on simulated and real-world advertising systems confirm that AIGB-Pearl achieves state-of-the-art performance, enabling advertisers to significantly optimize campaign returns within budget limits.",
Chuan Yu,Alibaba Group,,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,https://openreview.net/forum?id=kMuQBgPIdg,"Current AI-generated bidding methods are limited to imitating historical data, which prevents them from safely exploring higher-performing strategies beyond static datasets. This paper introduces AIGB-Pearl, a novel framework that integrates offline reward evaluation with policy search to enable active exploration while ensuring model safety through provable constraints. By avoiding the training instability typical of traditional reinforcement learning, this approach leverages synchronous coupling techniques to maintain regularity during generation. Extensive tests on simulated and real-world advertising systems confirm that AIGB-Pearl achieves state-of-the-art performance, enabling advertisers to significantly optimize campaign returns within budget limits.",
